4.20, -60.06
16.20, -60.04
28.21, -60.09
37.46, -59.62
40.42, -55.80
43.11, -51.93
44.11, -44.40
46.57, 16.57
55.49, -48.51
62.20, -40.86
64.20, 16.74
71.80, -45.63
75.64, -50.00
89.43, -47.72
101.26, -45.51
112.53, -43.12
120.80, 16.48
127.93, -46.88
133.70, -51.18
141.84, -51.25
152.84, -48.93
164.63, -46.29
176.49, -44.50
188.40, -43.27
200.33, -42.28
212.25, -41.21
224.28, -38.67
225.54, 17.05
231.86, -40.76
232.66, -43.89
232.78, -47.66
234.15, -51.11
240.50, -53.15
252.35, -51.15
264.14, -48.52
275.96, -46.23
287.85, -44.76
299.77, -43.70
311.74, -43.29
323.71, -42.78
334.70, -42.35
339.29, -46.48
341.74, -49.72
345.28, -53.12
349.36, -56.31
356.20, -59.90
366.75, -62.12
378.82, -62.82
390.81, -62.73
401.68, -62.16
